ID,APP_DBM_ID,Slug,Item,unit_of_measure,Type,Part,Price
1,1,10191509-IN-A01,"INSECTICIDE, aerosol type, net content: 600ml min",can,Solvents,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,139.36
2,2,12191601-AL-E01,"ALCOHOL, ethyl, 68%-70%, scented, 500ml (-5ml)",bottle,Solvents,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,43.79
3,3,12171703-SI-P01,"STAMP PAD INK, purple or violet",bottle,Color Compounds and Dispersions,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,30.8
4,4,13111203-AC-F01,"ACETATE, thickness: 0.075mm min (gauge #3)",roll,Films,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,847.82
5,5,13111201-CF-P01,"CARBON FILM, PE, black, size 210mm x 297mm",box,Films,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,221
6,6,13111201-CF-P02,"CARBON FILM, PE, black, size 216mm x 330mm",box,Films,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,208.52
7,7,14111525-CA-A01,"CARTOLINA, assorted colors",pack,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,83.72
8,8,14111506-CF-L11,"CONTINUOUS FORM, 1 PLY, 280 x 241mm",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,682.24
9,9,14111506-CF-L12,"CONTINUOUS FORM, 1 PLY, 280 x 378mm",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1029.6
10,10,14111506-CF-L22,"CONTINUOUS FORM, 2 ply, 280 x 378mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1528.8
11,11,14111506-CF-L21,"CONTINUOUS FORM, 2 ply, 280mm x 241mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,906.36
12,12,14111506-CF-L31,"CONTINUOUS FORM, 3 PLY, 280 x 241mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,884
13,13,14111506-CF-L32,"CONTINUOUS FORM, 3 PLY, 280 x 378mm, carbonless",box,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,1508
14,14,14111609-LL-C01,"LOOSELEAF COVER, made of chipboard, for legal",bundle,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,794.96
15,15,14111514-NP-S02,"NOTE PAD, stick on, 50mm x 76mm (2"" x 3"") min",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,37.06
16,16,14111514-NP-S04,"NOTE PAD, stick on, 76mm x 100mm (3"" x 4"") min",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,59.28
17,17,14111514-NP-S03,"NOTE PAD, stick on, 76mm x 76mm (3"" x 3"") min",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,47.73
18,18,14111514-NB-S01,"NOTEBOOK, STENOGRAPHER, spiral, 40 leaves",piece,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,12.04
19,19,14111507-PP-M01,"PAPER, MULTICOPY, 80gsm, size: 210mm x 297mm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,170.56
20,20,14111507-PP-M02,"PAPER, MULTICOPY, 80gsm, size: 216mm x 330mm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,181.42
21,21,14111507-PP-C01,"PAPER, Multi-Purpose (COPY) A4, 70 gsm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,128.44
22,22,14111507-PP-C02,"PAPER, Multi-Purpose (COPY) Legal, 70 gsm",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,169.4
23,23,14111531-PP-R01,"PAPER, PAD, ruled, size: 216mm x 330mm (� 2mm)",pad,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,29.12
24,24,14111503-PA-P01,"PAPER, PARCHMENT, size: 210 x 297mm, multi-purpose",ream,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,101.71
25,25,14111818-TH-P02,"PAPER, THERMAL, 55gsm, size: 216mm�1mm x 30m-0.3m",roll,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,55.64
26,26,14111531-RE-B01,"RECORD BOOK, 300 PAGES, size: 214mm x 278mm min",book,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,70.72
27,27,14111531-RE-B02,"RECORD BOOK, 500 PAGES, size: 214mm x 278mm min",book,Paper Materials and Products,PART I. AVAILABLE AT PROCUREMENT SERVICE STORES,101.92
